Bolsa Americana;BAKRA045M004TRZ;BOLSA AMER KRA ALIM N4 TREZERI;BAK.AMER KRA ALIM N4 TREZERI
Bolsa Americana;BAKRA045M007ROM;BOLSA AMER KRA ALIM N7 ROMANIN;BAK.AMER KRA ALIM N7 ROMANIN
Bolsa Americana;BAKRA045M007TRZ;BOLSA AMER KRA ALIM N7 TREZERI;BAK.AMER KRA ALIM N7 TREZERI
Bolsa Americana;BAKRA045MBDEPUG;BOLSA AMER KRA BDOSFE PUGLIESE;BAK.AMER KRA BDOSFE PUGLIESE
Bolsa Americana;BAKRR048M003PKS;BOLSA AMER. KRR Nº 03 PERIKOS;BAK.AMER. KRR Nº 03 PERIKOS
Bolsa Americana;BAKRR048M005ARS;BOLSA AM. KR REC Nº5 ARTE MEDI;BAK.AM. KR REC Nº5 ARTE MEDI
Bolsa Americana;BAKRR048M005ART;BOLSA AM. KR REC Nº5 ARTE CRIO;BAK.AM. KR REC Nº5 ARTE CRIO
Bolsa Americana;BAKRR048M005PKS;BOLSA AMER. KRR Nº 05 PERIKOS;BAK.AMER. KRR Nº 05 PERIKOS
Bolsa Americana;BAKRR048M007ARS;BOLSA AM. KR REC Nº7 ARTE MEDI;BAK.AM. KR REC Nº7 ARTE MEDI
Bolsa Americana;BAKRR048M007PKS;BOLSA AMER. KRR Nº 07 PERIKOS;BAK.AMER. KRR Nº 07 PERIKOS
Bolsa Americana;BAKRR050M001;BOLSA AMER. KRAFT REC. NRO.01;BAK.AMER. KRAFT REC. NRO.01
Bolsa Americana;BAKRR050M002;BOLSA AMER. KRAFT REC. NRO.02;BAK.AMER. KRAFT REC. NRO.02
Bolsa Americana;BAKRR050M003;BOLSA AMER. KRAFT REC. NRO.03;BAK.AMER. KRAFT REC. NRO.03
Bolsa Americana;BAKRR050M004;BOLSA AMER. KRAFT REC. NRO.04;BAK.AMER. KRAFT REC. NRO.04
Bolsa Americana;BAKRR050M005;BOLSA AMER. KRAFT REC. NRO.05;BAK.AMER. KRAFT REC. NRO.05
Bolsa Americana;BAKRR050M006;BOLSA AMER. KRAFT REC. NRO.06;BAK.AMER. KRAFT REC. NRO.06
Bolsa Americana;BAKRR050M007;BOLSA AMER. KRAFT REC. NRO.07;BAK.AMER. KRAFT REC. NRO.07
Bolsa Americana;BAKRR050M007PUG;BOLSA AMER. KRR Nº 07 PUGLIESE;BAK.AMER. KRR Nº 07 PUGLIESE
Bolsa Americana;BAKRR050M008;BOLSA AMER. KRAFT REC. NRO.08;BAK.AMER. KRAFT REC. NRO.08
Bolsa Americana;BAKRR050M01L;BOLSA AMER. KRAFT REC. NRO.1L;BAK.AMER. KRAFT REC. NRO.1L
Bolsa Americana;BAKRR050M03L;BOLSA AMER. KRAFT REC. NRO.3L;BAK.AMER. KRAFT REC. NRO.3L
Bolsa Americana;BAKRR050M03LPUG;BOLSA AMER. KRR Nº 3L PUGLIESE;BAK.AMER. KRR Nº 3L PUGLIESE
Bolsa Americana;BAKRR050M08EPUG;BOLSA AMER. KRR Nº 8E PUGLIESE;BAK.AMER. KRR Nº 8E PUGLIESE
Bolsa Americana;BAKRR050MBSI;BOLSA KRAFT REC. BAGUE. SIMPLE;BAK.KRAFT REC. BAGUE. SIMPLE
Budín;BD1555040RGFA;BD 200gRG 155x50x40mm;BD 200gRG 155x50x40
Budín;BD1555040STFA;BD 200g 155x50x40mm;BD 200g 155x50x40
Budín;BD1656545STFA;BD 320g 165x65x45mm;BD 320g 165x65x45
Budín;BD1734842RGFA;BD 230gRG 173x48x42mm;BD 230gRG 173x48x42
Budín;BD1734842STFA;BD 230g 173x48x42mm;BD 230g 173x48x42
Budín;BD1855040STFA;BD 240g 185X50X40mm;BD 240g 185X50X40
Budín;BD1855050STFA;BD 280g 185X50X50mm;BD 280g 185X50X50
Budín;BD1865040RGFA;BD 240gRG 186x50x40mm;BD 240gRG 186x50x40
Budín;BD1865050RGFA;BD 280gRG 186x50x50mm;BD 280gRG 186x50x50
Budín;BD1867260STFA;BD 500g 186x72x60mm;BD 500g 186x72x60
Bizcochuelo;BZ160050STFA;MOLDE DE BIZCOCHUELO Nº 160;BZ Nº 160
Bizcochuelo;BZ170050STFA;MOLDE DE BIZCOCHUELO Nº 170;BZ Nº 170
Bizcochuelo;BZ185040STFA;MOLDE BIZCOCHUELO 185X40mm;BZ 185X40
Bizcochuelo;BZ185050STFA;MOLDE BIZCOCHUELO 185X50mm;BZ 185X50
Bizcochuelo;BZ200050STFA;MOLDE BIZCOCHUELO 200X50mm;BZ 200X50
Bizcochuelo;BZ220050STFA;MOLDE BIZCOCHUELO 220X50mm;BZ 220X50
Fundas;FU160SEBLA35;FUNDA BUDIN 160SE 150x40x43mm;FU. 160SE
Fundas;FU160SUBLA40;FUNDA BUDIN 160SU 150x40x43mm;FU. 160SU
Fundas;FU170SEBLA35;FUNDA BUDIN 170SE 150X55X40mm;FU. 170SE
Fundas;FU220KRMAR35;FUNDA BUDIN 220KB  165X55X36mm;FU. 220KB
Fundas;FU220SEBLA35;FUNDA BUDIN 220SE 165X55X36mm;FU. 220SE
Fundas;FU220SUBLA40;FUNDA BUDIN 220SB 165X55X36mm;FU. 220SB
Fundas;FU230SEBLA32;FUNDA BUDIN 230SE 165X55X40mm;FU. 230SE
Fundas;FUMB9CSEBL32;FUNDA MINIBUDIN 9C 85X25X25;FU. MINI BD. 9C
Fundas;FUMB9LSEBL32;FUNDA MINIBUDIN 9L 88X25X25mm;FU. MINI BD. 9L
Madalenas;MA4025SEBL32;PIROTIN MADALENA M4025 32g;M4025 32g
Madalenas;MA4025SEBL60;PIROTIN MADALENA M4025 60g;M4025 60g
Madalenas;MA4327SEBL32;PIROTIN MADALENA M4327 32g;M4327 32g
Madalenas;MA4327SEMA35;PIROTIN MADALENA M4327 35g ;M4327 35g 
Madalenas;MA5025SEMA35;PIROTIN MADALENA M5025 35g ;M5025 35g 
Madalenas;MA5029SEBL35;PIROTIN MADALENA M5029 35g;M5029 35g
Madalenas;MA5029SEMA35;PIROTIN MADALENA M5029 35g ;M5029 35g 
Mantelito;PAPKRMS0500230;PAPEL KR SEMI 50 g/m² A=230mm;PAPEL KR SEMI 50 g/m² A=230mm
Pan Dulce;PD055065STFA;MOLDE PAN DULCE 100g 65x055mm;PD  100g 65x055mm
Pan Dulce;PD090075MIFA;MOLDE PAN DULCE 250g 90X75mmFM;PD  250g 90X75mmFM
Pan Dulce;PD090075STCA;MOLDE PAN DULCE 250g - CALSA;PD  250g - CALSA
Pan Dulce;PD090075STFA;MOLDE PAN DULCE 250g 90X75mm;PD  250g 90X75
Pan Dulce;PD110090STFA;MOLDE PAN DULCE 350g 110x90mm;PD  350g 110x90
Pan Dulce;PD110095STFA;MOLDE PAN DULCE 400g 110x95mm;PD  400g 110x95
Pan Dulce;PD110110MIFA;MOLDE PAN DULCE 500g 110x110FM;PD  500g 110x110FM
Pan Dulce;PD110110STCA;MOLDE PAN DULCE 500g - CALSA;PD  500g - CALSA
Pan Dulce;PD110110STFA;MOLDE PAN DULCE 500g 110X110mm;PD  500g 110X110
Pan Dulce;PD115085STFA;MOLDE PAN DULCE 350g 115x085mm;PD  350g 115x085
Pan Dulce;PD115095GAON;MOLDE PAN DULCE 400g GAONA;PD  400g GAONA
Pan Dulce;PD115095MIFA;MOLDE PAN DULCE 400g 115x095FM;PD  400g 115x095FM
Pan Dulce;PD115095STFA;MOLDE PAN DULCE 400g 115x095mm;PD  400g 115x095
Pan Dulce;PD115095VAST;MOLDE PAN DULCE 400g VALENCIAN;PD  400g VALENCIANO
Pan Dulce;PD115105MIFA;MOLDE PAN DULCE 500g115x105FM ;PD  500g115x105FM 
Pan Dulce;PD115105STCA;MOLDE PAN DULCE 500g - CALSA;PD  500g - CALSA
Pan Dulce;PD115105STFA;MOLDE PAN DULCE 500g 115X105mm;PD  500g 115X105
Pan Dulce;PD115105VALE;MOLDE PAN DULCE 500 VALENCIANO;PD  500 VALENCIANO
Pan Dulce;PD115105VAST;MOLDE PAN DULCE 500g 115X105mm;PD  500g 115X105
Pan Dulce;PD115130MIFA;MOLDE PAN DULCE 600g 115x130FM;PD  600g 115x130FM
Pan Dulce;PD115130STFA;MOLDE PAN DULCE 600g 115x130mm;PD  600g 115x130
Pan Dulce;PD120100DS01;MOLDE PAN DULCE 120X100 F200;PD  120X100 F200
Pan Dulce;PD120100DS02;MOLDE PAN DULCE 120X100 F160;PD  120X100 F160
Pan Dulce;PD120100STFA;MOLDE PAN DULCE 500g 120x100m;PD  500g 120x100
Pan Dulce;PD120110GAON;MOLDE PAN DULCE 600g GAONA;PD  600g GAONA
Pan Dulce;PD120110MIFA;MOLDE PAN DULCE 600g 120x110FM;PD  600g 120x110FM
Pan Dulce;PD120110STFA;MOLDE PAN DULCE 600g 120x110mm;PD  600g 120x110
Pan Dulce;PD120120MIFA;MOLDE PAN DULCE 600g 120x120FM;PD  600g 120x120FM
Pan Dulce;PD120120STFA;MOLDE PAN DULCE 600g 120x120mm;PD  600g 120x120
Pan Dulce;PD130110DSAT;MOLDE PAN DULCE 130x110F200;PD  130x110F200
Pan Dulce;PD130120MIFA;MOLDE PAN DULCE 700g 130x120FM;PD  700g 130x120FM
Pan Dulce;PD130120STFA;MOLDE PAN DULCE 700g 130x120mm;PD  700g 130x120
Pan de Pascua;PD140050MIFA;MOLDE PAN DE PASCUA 140x50  FM;P. PASCUA 140x50  FM
Pan de Pascua;PD140050STFA;MOLDE PAN DE PASCUA 140x50mm;P. PASCUA 140x50
Pan Dulce;PD140060STFA;MOLDE PAN DULCE 350g 140x060mm;PD  350g 140x060
Pan Dulce;PD140095STFA;MOLDE PAN DULCE 600g 140x095mm;PD  600g 140x095
Pan Dulce;PD140120MIFA;MOLDE PAN DULCE 1Kg 140x120FM;PD  1Kg 140x120FM
Pan Dulce;PD140120STFA;MOLDE PAN DULCE 1Kg 140x120mm;PD  1Kg 140x120mm
Pan Dulce;PD140120STHX;MOLDE PAN DULCE 1Kg - HIPERMAX;PD  1Kg - HIPERMAX
Pan Dulce;PD150140STFA;MOLDE PAN DULCE 1250 g 150x140;PD  1250 g 150x140
Pan de Pascua;PD160050MIFA;MOLDE PAN DE PASCUA 160x50 FM ;P. PASCUA 160x50 FM 
Pan de Pascua;PD160050STFA;MOLDE PAN DE PASCUA 160x50mm;P. PASCUA 160x50mm
Pan de Pascua;PD160060MIFA;MOLDE PAN DE PASCUA 160x60 FM ;P. PASCUA 160x60 FM 
Pan de Pascua;PD160060STFA;MOLDE PAN DE PASCUA 160x60mm  ;P. PASCUA 160x60
Pan de Pascua;PD160120STFA;MOLDE PAN DULCE 160x120mm  ;PD  160x120
Pan de Pascua;PD170050MIFA;MOLDE PAN DE PASCUA 170x50 FM ;P. PASCUA 170x50 FM 
Pan de Pascua;PD170060MIFA;MOLDE PAN DE PASCUA 170x60 FM ;P. PASCUA 170x60 FM 
Pan de Pascua;PD170060STFA;MOLDE PAN DE PASCUA 170x60mm ;P. PASCUA 170x60
Mantelito;PP3040SUBLFR;PAPEL HOJA PARAF 30X40cmX1Kg;PAPEL HOJA PARAF 30X40cm 1Kg
Mantelito;PP3040SUBLGR;PAPEL HOJA PARAF 30X40cm x10Kg;PAPEL HOJA PARAF 30X40cm x10Kg
Pirotines;PR020017BOMA;PIROTIN BOMBON Nº 3 MARRON HAB;PR. BOMBON Nº 3 MARRON HAB
Pirotines;PR020017MABL;PIROTIN MASAS Nº 3 BLANCO;PR. M. Nº 3 BLANCO
Pirotines;PR020017MAFA;PIROTIN MASAS Nº 3 FANTASIA;PR. M. Nº 3 FANTASIA
Pirotines;PR020022BOMA;PIROTIN BOMBON Nº 4 MARRON HAB;PR. BOMBON Nº 4 MARRON HAB
Pirotines;PR020022MABL;PIROTIN MASAS Nº 4 BLANCO;PR. M. Nº 4 BLANCO
Pirotines;PR020022MAFA;PIROTIN MASAS Nº 4 FANTASIA;PR. M. Nº 4 FANTASIA
Pirotines;PR030019BOMA;PIROTIN BOMBON Nº 5 MARRON HAB;PR. BOMBON Nº 5 MARRON HAB
Pirotines;PR030019MABL;PIROTIN MASAS Nº 5 BLANCO;PR. M. Nº 5 BLANCO
Pirotines;PR030019MAFA;PIROTIN MASAS Nº 5 FANTASIA;PR. M. Nº 5 FANTASIA
Pirotines;PR030022MABL;PIROTIN MASAS Nº 6 BLANCO;PR. M. Nº 6 BLANCO
Pirotines;PR030022MAFA;PIROTIN MASAS Nº 6 FANTASIA;PR. M. Nº 6 FANTASIA
Pirotines;PR030025MABL;PIROTIN MASAS Nº 7 BLANCO;PR. M. Nº 7 BLANCO
Pirotines;PR030025MAFA;PIROTIN MASAS Nº 7 FANTASIA;PR. M. Nº 7 FANTASIA
Pirotines;PR035025MABL;PIROTIN MASAS Nº 8 BLANCO;PR. M. Nº 8 BLANCO
Pirotines;PR035025MAFA;PIROTIN MASAS Nº 8 FANTASIA;PR. M. Nº 8 FANTASIA
Pirotines;PR035029MABL;PIROTIN MASAS Nº 9 BLANCO;PR. M. Nº 9 BLANCO
Pirotines;PR035029MAFA;PIROTIN MASAS Nº 9 FANTASIA;PR. M. Nº 9 FANTASIA
Pirotines;PR050037MABL;PIROTIN MASAS Nº 10 BLANCO;PR. M. Nº 10 BLANCO
Pirotines;PR050037MAFA;PIROTIN MASAS Nº 10 FANTASIA;PR. M. Nº 10 FANTASIA
Pirotines;PR065030MABL;PIROTIN MASAS Nº 11 BLANCO;PR. M. Nº 11 BLANCO
Pirotines;PR065030MAFA;PIROTIN MASAS Nº 11 FANTASIA;PR. M. Nº 11 FANTASIA
Rosca;RS185040STFA;MOLDE ROSCA 185X40mm;RS 185X40
Rosca;RS185050STFA;MOLDE ROSCA 185X50mm;RS 185X50
Rosca;RS200050STFA;MOLDE ROSCA 200X50mm;RS 200X50
Rosca;RS220050STFA;MOLDE ROSCA 220X50mm;RS 220X50
Tulipas;TU145GPSTB45;TULIPA MUFFINS 140/50 BLANCA;TU. MU. 140/50 BLANCA
Tulipas;TU145GPSTM50;TULIPA MUFFINS 140/50 MARRON;TU. MU. 140/50 MARRON
Tulipas;TU145SUSTN40;TULIPA MUFFINS 140/50;TU. MU. 140/50
Tulipas;TU145SUSTR40;TULIPA MUFFINS 140/50 ROJO;TU. MU. 140/50 ROJO
Tulipas;TU145SUSTV40;TULIPA MUFFINS 140/50.;TU. MU. 140/50.
Tulipas;TU165GPSPM50;TULIPA MUFFINS STEP 160/50 MAR;TU. MU. STEP 160/50 MAR